,city,country,population,popkm12,popkm14,tweet_count_total,continent,dev,gni,twfirst6,twlast6,pctincrease,tw.2012-01,tw.2012-02,tw.2012-03,tw.2012-04,tw.2012-05,tw.2012-06,tw.2012-07,tw.2012-08,tw.2012-09,tw.2012-10,tw.2012-11,tw.2012-12,tw.2013-01,tw.2013-02,tw.2013-03,tw.2013-04,tw.2013-05,tw.2013-06,tw.2013-07,tw.2013-08,tw.2013-09,tw.2013-10,tw.2013-11,tw.2013-12,tw.2014-01,tw.2014-02,tw.2014-03,tw.2014-04,tw.2014-05,tw.2014-06,change
62,Prague,Czech Republic,1310000," 4,400 "," 4,400 ",58198,Europe,High income,18140,4769,18801,294.2335919,722,688,658,839,953,909,990,1166,905,1024,1001,1213,1299,1151,1423,1192,1125,1249,1580,1883,1408,1357,1507,2170,1864,1960,2509,3556,4319,4593,3.942335919
32,Guatemala City,Guatemala,1289000," 4,000 "," 4,200 ",184700,Central America,Lower middle income,3590,2274,57060,2409.234828,287,347,368,378,414,480,577,856,1034,1304,1329,1901,1782,1654,2253,3083,2940,2207,2251,2180,2195,3449,5199,7377,7296,5963,7083,9798,12135,14785,25.09234828
25,Copenhagen,Denmark,1248000," 2,600 "," 2,700 ",100497,Europe,High income,58550,6118,30056,391.2716574,670,787,954,1060,1389,1258,1029,1383,1301,1434,1713,1399,1488,1299,1360,1532,2246,2245,1642,2440,2244,2360,3317,3703,4047,4364,4832,4465,6874,5474,4.912716574
79,Ulan Bator,Mongolia,1237000," 4,600 "," 4,700 ",64675,Asia,Lower middle income,3870,623,28860,4532.423756,58,70,95,77,111,212,199,308,476,567,839,969,1167,1199,1576,1412,1830,1591,1140,1429,1608,1605,3343,5751,5265,4245,3840,5536,5449,4525,46.32423756
34,Helsinki,Finland,1208000," 2,300 "," 1,900 ",74218,Europe,High income,46550,2749,20906,660.4947254,303,341,387,468,671,579,518,881,854,789,824,701,886,692,896,977,1322,1260,1213,1624,1510,1506,2110,2137,2520,2388,4071,3811,4259,3857,7.604947254
72,Sofia,Bulgaria,1195000," 5,700 "," 5,700 ",24821,Europe,Upper middle income,7480,648,6092,840.1234568,63,80,93,105,135,172,161,170,254,258,278,337,359,278,411,1056,464,1456,1037,422,409,454,688,982,607,625,1024,1222,1313,1301,9.401234568
14,Belgrade,Serbia,1180000," 4,700 "," 4,800 ",64119,Europe,Upper middle income,5540,2061,24302,1079.136342,208,199,305,414,432,503,393,559,630,947,1092,1251,1187,959,1347,1280,1296,1338,1115,1274,1594,1821,2107,3489,3372,2887,4015,4292,4817,4919,11.79136342
65,San Jose,Costa Rica,1170000," 4,700 "," 4,700 ",153725,Central America,Upper middle income,10400,3313,38582,1064.563839,265,392,544,522,664,926,816,859,1025,1130,1440,1462,1651,1451,2144,2293,2161,2289,2217,2242,2839,2741,3150,5455,6065,4823,5170,6459,6567,9498,11.64563839
31,Dublin,Ireland,1160000," 2,500 "," 2,600 ",483298,Europe,High income,52580,13174,111522,746.531046,1394,1913,2244,2347,2447,2829,3341,3162,3892,6065,6802,6721,7319,5686,8476,7864,8602,8403,9922,9233,9683,10401,12466,14087,15146,16390,22703,17891,19992,19400,8.46531046
67,San Salvador,El Salvador,1100000," 10,400 "," 10,800 ",151419,Central America,Lower middle income,3940,1972,57649,2823.377282,182,289,308,303,456,434,788,1180,1524,2128,2319,3019,3516,3090,3446,3566,3842,3719,4255,4478,4956,5664,6709,12822,12966,7623,8636,8087,9528,10809,29.23377282
